D,R,N_R,H_R,C_sigma_inerte
-43,420941,11084,1.000000000000,0.340999209847
-43,420961,11709,1.032786885246,0.348776252071
-43,420981,18299,1.666927961119,0.337698631568
-43,421001,14721,1.304483837331,0.347134954220
-43,421021,12464,1.105263157895,0.346874556271
-43,421041,18335,1.666666666667,0.338371538476
-43,421061,11109,1.000109247829,0.341641129320
-43,421081,11053,1.000000000000,0.339941166169
-43,421101,21719,1.942097026604,0.343932690840
-43,421121,11102,1.000004749229,0.341416638855
-43,421141,14526,1.285714285714,0.347430594870
-43,421161,18407,1.666666666667,0.339610978083
-43,421181,11129,1.000004748552,0.342201971482
-43,421201,11116,1.000000000000,0.341788885016
-43,421221,18309,1.666690407173,0.337753654781
-43,421241,11087,1.000000000000,0.340867336998
-43,421261,11147,1.000223139574,0.342620556920
-43,421281,29100,2.562434574548,0.349119004210
-43,421301,11228,1.003327787022,0.344012184632
-43,421321,11204,1.000147156206,0.344353445385
-43,421341,19943,1.785572730876,0.343312137477
-43,421361,11063,1.000000000000,0.340040074784
-43,421381,11077,1.000000000000,0.340455476503
-43,421401,20435,1.842105263158,0.340941091038
-43,421421,14591,1.291822192060,0.347122243826
-43,421441,11278,1.013971113394,0.341812244719
-43,421461,21039,1.888969560647,0.342264790483
-43,421481,11082,1.000000000000,0.340534579778
-43,421501,11065,1.000000000000,0.339997305465
-43,421521,18711,1.689038031320,0.340378885308
-43,421541,11851,1.054054054054,0.345444388263
-43,421561,14502,1.285714285714,0.346537664760
-43,421581,18248,1.666690386901,0.336363096622
-43,421601,11168,1.000820681165,0.342805769422
-43,421621,11016,1.000000000000,0.338402766301
-43,421641,21041,1.889775899403,0.342016483554
-43,421661,11183,1.000004743147,0.343501171792
-43,421681,11435,1.022443505873,0.343518236601
-43,421701,826,2.152034261242,0.011788669935
-43,421721,11613,1.027397260274,0.347153028535
-43,421741,11111,1.000000000000,0.341231470369
-43,421761,18383,1.666690376777,0.338718084355
-43,421781,12506,1.105263157895,0.347464669604
-43,421801,11059,1.000000000000,0.339589908848
-43,421821,21948,1.962962962963,0.343322892136
-43,421841,14967,1.326530612245,0.346432315927
-43,421861,11164,1.000000000000,0.342769161911
-43,421881,18313,1.666666666667,0.337344521208
-43,421901,11217,1.000507227999,0.344191710285
-43,421921,12079,1.068965517241,0.346890338892
-43,421941,18508,1.676217765043,0.338949481825
-43,421961,11171,1.002412545235,0.342083782282
-43,421981,14535,1.285714285714,0.347007210040
