D,R,N_R,H_R,C_sigma_inerte
-43,47401,1519,1.000000000000,0.345017182765
-43,47421,2902,1.888888888889,0.348825125191
-43,47441,1559,1.000042157627,0.353816800238
-43,47461,1558,1.001306335728,0.353008435684
-43,47481,3858,2.443609022556,0.358054484661
-43,47501,1522,1.000042104377,0.345023813161
-43,47521,1513,1.000000000000,0.342867080814
-43,47541,2584,1.666666666667,0.351208363125
-43,47561,1573,1.010050251256,0.352647758206
-43,47581,1536,1.000000000000,0.347681007086
-43,47601,117,1.962962962963,0.013486459173
-43,47621,2009,1.285714285714,0.353422468860
-43,47641,1680,1.061879473563,0.357706899594
-43,47661,2499,1.666876481820,0.338836930735
-43,47681,1544,1.000041945429,0.348812220206
-43,47701,1552,1.000000000000,0.350500875429
-43,47721,2534,1.666666666667,0.343233839080
-43,47741,1522,1.000000000000,0.343464459863
-43,47761,2013,1.286091162245,0.353080845139
-43,47781,2930,1.889600468806,0.349651037417
-43,47801,1552,1.000543921675,0.349645439893
-43,47821,1683,1.068965517241,0.354754504523
-43,47841,2726,1.756756756757,0.349507882472
-43,47861,1755,1.105263157895,0.357511082032
-43,47881,1551,1.000041770222,0.349065665138
-43,47901,3344,2.144736018037,0.350785279711
-43,47921,1578,1.007220216606,0.352344122504
-43,47941,1592,1.010471204188,0.354192357545
-43,47961,3024,1.941348178729,0.350053226025
-43,47981,1563,1.000000000000,0.351115855674
-43,48001,1531,1.000000000000,0.343797295376
-43,48021,2549,1.666666666667,0.343308234229
-43,48041,2035,1.286088965675,0.355052416236
-43,48061,1559,1.000540979172,0.349499299754
-43,48081,2582,1.666666666667,0.347359063996
-43,48101,1590,1.004282655246,0.354852973916
-43,48121,1559,1.000000000000,0.349292780491
-43,48141,3080,1.965164828317,0.351019709427
-43,48161,1538,1.000000000000,0.344328083925
-43,48181,2005,1.286087876964,0.348896210168
-43,48201,2570,1.666874131242,0.344920742673
-43,48221,1567,1.000041475706,0.350410025866
-43,48241,1737,1.106133786613,0.351038144754
-43,48261,2563,1.666873873314,0.343593306370
-43,48281,1547,1.000000000000,0.345561926441
-43,48301,1571,1.000455477112,0.350631398105
-43,48321,3858,2.428571428571,0.354585200417
-43,48341,1541,1.000000000000,0.343834022057
-43,48361,1619,1.014598540146,0.355906432085
-43,48381,2557,1.666873359377,0.342017574480
-43,48401,1709,1.068965517241,0.356316400839
-43,48421,1550,1.001693480102,0.344739866988
-43,48441,2616,1.680497925311,0.346682321940
-43,48461,87,1.326530612245,0.014600618695
