D,model,R_tail_min,C_inf,se_C_inf,a,se_a,b,se_b,r2,n_tail_pts,n_bins,R_min,R_max
-4,linear,2000000,0.7356888555528109,6.167532320361217e-05,0.7645648126452815,0.0009560687757135848,,,0.9996904859234371,400001,200,2000001,10000001
-4,linear,3000000,0.7362912803641568,5.3391218530949004e-05,0.7550861809146246,0.0008341393578974542,,,0.9997584291946948,350001,200,3000001,10000001
-4,quadratic,1000000,0.7546568950779566,0.0007864030690393746,0.18180896070224165,0.023749360000772143,4.4718226493350075,0.1790527803728055,0.9999226854517828,450001,200,1000001,10000001
-4,quadratic,2000000,0.7590461482270762,0.0015320117391750346,0.04595153997001321,0.04712092130696088,5.522354504097942,0.36207756706910105,0.9998580736490397,400001,200,2000001,10000001
-4,quadratic,3000000,0.7468057778045442,0.0025529620148219668,0.42797655053753103,0.07941150592220542,2.5428761761359393,0.6172955450809405,0.9997775874854747,350001,200,3000001,10000001
-3,linear,1000000,0.5660054456931966,6.511005556164974e-05,0.5634263709998364,0.0009987096890324981,,,0.9993782736412574,450001,200,1000001,10000001
-3,linear,2000000,0.5666518003732375,0.0003550272106171351,0.5533133591821924,0.005503504691481758,,,0.9807878209794045,400001,200,2000001,10000001
-3,linear,3000000,0.5670789838054131,0.0005422450643203996,0.5465909483777002,0.008471579451086978,,,0.9545965398063141,350001,200,3000001,10000001
-3,quadratic,1000000,0.5825328271215366,0.0011142802286711454,0.06399935827229472,0.03365124493318672,3.7661008379587244,0.2537057406219565,0.9997065327332032,450001,200,1000001,10000001
-3,quadratic,2000000,0.5823761077019317,0.012974985968637817,0.06953743071276776,0.3990787258042359,3.7176911130676307,3.066524382384877,0.9809300984356377,400001,200,2000001,10000001
-3,quadratic,3000000,0.5736493168864948,0.02701764785716764,0.3421856272682377,0.8404011067760239,1.5890006684470481,6.5327543316222245,0.954610171419036,350001,200,3000001,10000001
