R_center,X_bar,std,n,var,x,y,yhat,resid,w
4500051.0,0.6941088580167508,0.19575422164687933,10000,0.03831971529257556,0.06527585880021547,0.6941088580167508,0.6941691657592519,-6.030774250109783e-05,1.001930930110659
4700051.0,0.6940125937274549,0.19576410357357513,10000,0.03832358424796545,0.06509109794348308,0.6940125937274549,0.6940280582543703,-1.5464526915365262e-05,1.0018297802274103
4900051.0,0.6938874825417682,0.1957472721468387,10000,0.038316994552928536,0.06491501643305492,0.6938874825417682,0.6938935794311405,-6.0968893722535e-06,1.0020020733001742
5100051.0,0.6937073386881373,0.19579246975480916,10000,0.03833469121268786,0.06474687395148557,0.6937073386881373,0.6937651638865361,-5.782519839880873e-05,1.0015395134305525
5300051.0,0.6936508889028357,0.19570486566378503,10000,0.03830039444448015,0.06458601943430921,0.6936508889028357,0.6936423143827553,8.5745200804066e-06,1.002436359769636
5500051.0,0.6935552387003677,0.19568657242519263,10000,0.03829323462752016,0.06443187739854342,0.6935552387003677,0.6935245914058815,3.0647294486207954e-05,1.0026237887220293
5700051.0,0.6934769332025519,0.19565367797946995,10000,0.038280361706894125,0.06428393677921149,0.6934769332025519,0.6934116046399952,6.532856255669905e-05,1.0029609510651865
5900051.0,0.6933943981941946,0.1956629299614816,10000,0.03828398216111165,0.06414174174312126,0.6933943981941946,0.6933030059513763,9.139224281828895e-05,1.0028661026716723
6100041.0,0.6933065677905266,0.19563611194359504,9999,0.03827348829640685,0.0640048907911477,0.6933065677905266,0.6931984887028899,0.00010807908763665885,1.003040755432566
6300031.0,0.6932187723631249,0.19563016496604183,10000,0.03827116144464074,0.0638730097790989,0.6932187723631249,0.6930977671491984,0.0001210052139265505,1.0032020596030877
6500031.0,0.6931363058443545,0.19561789758969508,10000,0.03826636185741243,0.06374576148787592,0.6931363058443545,0.6930005837457844,0.0001357220985700458,1.0033278869762419
6700031.0,0.6930719909651675,0.19558195752344507,10000,0.03825230210870267,0.06362285304675215,0.6930719909651675,0.6929067148183362,0.00016527614683126135,1.0036966631592883
6900031.0,0.6929875142306423,0.19559838042610705,10000,0.0382587264253161,0.06350401247837341,0.6929875142306423,0.6928159526494483,0.0001715615811940241,1.0035281247433383
7100031.0,0.6929039252642517,0.19558245666214327,10000,0.03825249735399915,0.06338899215288404,0.6929039252642517,0.6927281081166423,0.0001758171476093917,1.0036915401721336
7300031.0,0.6928523003381596,0.19555370584010456,10000,0.03824125186779814,0.06327756599160271,0.6928523003381596,0.69264300855673,0.00020929178142958804,1.0039866926269772
7500031.0,0.6927163806203286,0.1956611018784165,10000,0.03828326678827609,0.06316952705882299,0.6927163806203286,0.692560495926597,0.00015588469373162273,1.0028848425344832
7700031.0,0.6927205542918888,0.19555846328501847,10000,0.038243112562397916,0.06306468547906499,0.6927205542918888,0.6924804252125446,0.00024012907934423122,1.0039378442856146
7900031.0,0.692658343751003,0.19551962175246612,10000,0.038227922490227426,0.062962866628573,0.692658343751003,0.6924026630490813,0.0002556807019217233,1.004336764428693
8100021.0,0.6925792006020703,0.19554253545302594,9999,0.03823688317139791,0.06286391443782795,0.6925792006020703,0.6923270902411525,0.00025211036091787875,1.0040009914454517
8300011.0,0.6925132382135325,0.1955204978066318,10000,0.03822826506255311,0.06276767511188497,0.6925132382135325,0.6922535893308651,0.00025964888266738484,1.0043277643346369
8500011.0,0.6924429319272275,0.1954791090954463,10000,0.0382120820927494,0.06267400648373282,0.6924429319272275,0.6921820517409341,0.000260880186293444,1.0047531011651138
8700011.0,0.692382785014518,0.19549389369817463,10000,0.038217862473273204,0.06258278588602328,0.692382785014518,0.6921123837865618,0.00027040122795618515,1.004601134129771
8900011.0,0.6923263059098391,0.1954584915809668,10000,0.03820402193110686,0.062493894851671054,0.6923263059098391,0.69204449499082,0.000281810919019132,1.0049650807420503
9100011.0,0.6922882629314463,0.1954811630894393,10000,0.03821288512279997,0.06240722315870782,0.6922882629314463,0.6919783011738275,0.00030996175761877076,1.004731986639711
9300011.0,0.692239420321668,0.19546813401544041,10000,0.03820779141547817,0.06232266808938418,0.692239420321668,0.6919137238869045,0.0003256964347634339,1.0048659334209091
9500011.0,0.6921898035133881,0.19543924348168198,10000,0.03819649789269217,0.062240133770211765,0.6921898035133881,0.6918506899085419,0.00033911360484617514,1.0051630411910468
9700011.0,0.6921262419084364,0.1954519356350867,10000,0.03820145914350207,0.062159530582600146,0.6921262419084364,0.6917891307942873,0.00033711111414913564,1.0050324999482776
9900011.0,0.6919969812181854,0.19553698160495123,10000,0.03823471117517503,0.06208077463524894,0.6919969812181854,0.6917289824737942,0.00026799874439120686,1.0041584414947555
